text,sentiment
"hari ini aku masih libur, masih ada waktu seminggu untuk di rumah. aku manfaatin libur seminggu ini untuk belajar persiapan PTM kalian yang hari ini sekolah semangaaatttt yaa!! https://t.co/hVo5HRXBI3",1
yg ptm hari ini semangaattt,1
yg lagi ptm sini ciss dulu,1
yang ptm semangat ya,1
yang ptm selamat menikmati hari bahagia kalian ya,1
yang ptm mangats,1
"todayyy!!! udah ptm tapi ga ngapa""in just a ceremony https://t.co/CrMNIxvI1c",1
"tl sepi, pasti lagi pada ptm ya",1
tiap ptm kek gini enak kali ya.... https://t.co/6MFtw2LkVu,1
ternyata ptm 100% gk se bad itu,1
tapi drpd pjj gini mending ptm sih..,1
stay tuned saya bakal pap ptm keseharian saya ya guys #firstdayofschool,1
smngt yg ptm https://t.co/EAJZgJr30j,1
smngt yg PTM aiwkaowkwk,1
"setelah liat anak"" SMA PTM, gw jd merasa kurang puas dengan masa SMA gw",1
"seru bgt udh ptm full ak sgt iri krn sekolah offline cuma 1,5 taun tbtb udh mw smt 2 ajg",1
seru bgt pada ptm,1
"serius deh, tadi pagi ngeliat anak-anak pada sekolah karena wilayahku udah PTM 100% kayak apa yaa mauuu nangis karena ""finally bisa kayak dulu lagi""",1
seneng bangetttt hari ini udah mulai ptm dan ngadain tukeran kadoo!!!,1
semoga hari ini dpt duid enak yg ptm dpt jjn aq g soalny aq pjj,1
semangatt yg hari ini udah ptm https://t.co/GKmK4005SV,1
"semangat yg udah ptm hari ini, hv a nice day",1
semangat ya yg ptm hari ini :D siapa yg masuknya tgl 10,1
semangat semua mutualku yang udah ptm GBU,1
semangat ptm yall agw ptm tgl 10,1
semangat ptm gais,1
semangat dah yang lagi ptm,1
semangat buat yang ptm hari ini dan semangat jg yang mulai uas hari ini,1
semangat bestie yang hari ini mulai ptm https://t.co/o7wFyzOEpf,1
semangaaat yg ptm hari inii,1
selamat sekolah ptm bagi yang menjalankan,1
"selamat pagi, selamat ptm",1
selamat hari senin dan selamat sekolaahh buat yg PTM? semogaa semua diberi kesehatan dan perlindungan aamiin!!!!!!!,1
selamat hari senin dan selamat sekolaahh buat yg PTM?? semoga semua diberi kesehatan dan perlindungan aamiin!!!!!!!!,1
